geometry/type,geometry/coordinates/0,geometry/coordinates/1,type,properties/state,properties/code,properties/name,properties/zone,properties/address,geometry
Point,75.402851,19.859565,Feature,Maharashtra,CTH,CHIKALTHANA,SCR,"Aurangabad, Maharashtra",
Point,82.12739309999999,26.6360965,Feature,Uttar Pradesh,BTKD,BHARATKUND,NR,"Bikapur, Uttar Pradesh",
Point,75.32156499999999,31.949113,Feature,Punjab,DHW,Dhariwal,NR,"Dhariwal, Punjab",
Point,85.27660900000001,25.779962,Feature,,SAI,SARAI,,,
Point,84.915988,22.068676999999997,Feature,Orissa,CPE,Chandiposi,SER,"National Highway 23, Orissa",
Point,77.1169303369,19.1803282622,Feature,Maharashtra,CRU,CHUDAWA,SCR,"Hingoli, Maharashtra",
Point,89.977952,26.023137000000002,Feature,Assam,DBB,DHUBRI,NFR,"Dhubri, Assam",
Point,76.96379300000001,29.388948,Feature,,PNP,PANIPAT JN,,,
Point,78.27585499999999,29.13201,Feature,Uttar Pradesh,CPS,CHANDPUR SIAU HALT,NR,"Chandpur, Uttar Pradesh",
Point,70.53884199999999,22.427916,Feature,Gujarat,CX,CHANOL,WR,"State Highway 25, Gujarat",
Point,85.365246145,25.6767202377,Feature,Bihar,CSR,CHAK SIKANDAR,ECR,"Chak Sikander, Bihar",
Point,84.487603186,25.3615157718,Feature,Bihar,CRQ,Charpokhari Halt,ECR,"Charpokhari, Bihar",
Point,75.9006577881,21.0097131944,Feature,,VNA,VARANGAON,,,
Point,85.353298,26.7174,Feature,Bihar,DAG,DHANG,ECR,"Bhang, Bihar",
Point,75.6466632,29.0094584,Feature,Haryana,CRW,Charaud,NWR,"National Highway 65, Haryana",
Point,80.626207,21.218301,Feature,,BTL,BORTALAO,,,
Point,83.102414,21.99178,Feature,,KHS,KHARSIA,,,
Point,83.182508,21.988744,Feature,,ROB,ROBERTSON,,,
Point,92.511718,26.202272,Feature,Assam,CPK,CHAPARMUKH JN,NFR,"Chaparmukh, Assam",
Point,76.014229,30.365958000000003,Feature,Punjab,CTW,Chhintanwala,NR,"Sherpur Sodhian Link Rd, Punjab",
Point,76.386431,14.231154,Feature,Karnataka,CTA,Chitradurg,SWR,"Chitradurga, Karnataka",
,,,Feature,Gujarat,AAV,Ambav,WR,"Ambav, Gujarat",
